순위,키워드,빈도수
1,외국인,2995
2,서비스,2976
3,브랜드,2469
4,글로벌,2439
5,일자리,2225
6,목표주가,2028
7,투자의견,2009
8,아파트,1945
9,영업이익,1928
10,중소기업,1750
11,동종목,1691
12,포인트,1616
13,컨센서스,1562
14,4분기,1552
15,리포트,1537
16,삼성전자,1502
17,순매도,1444
18,이벤트,1438
19,자동차,1415
20,씽크풀,1344
21,코스피,1269
22,코스닥,1238
23,부동산,1184
24,변동성,1096
25,반도체,1076
26,수익률,1071
27,소비자,1045
28,연구원,1039
29,부회장,1027
30,디자인,1022
31,매출액,1012
32,한국GM,948
33,2017년,911
34,전기차,895
35,재건축,856
36,증권사,838
37,에너지,756
38,프로그램,748
39,비트코인,746
40,계열사,746
41,프리미엄,740
42,현대차,724
43,매물대,723
44,모바일,711
45,거래소,707
46,거래비중,687
47,베트남,657
48,투자자,640
49,플랫폼,638
50,대기업,610
51,전년_대비,606
52,스마트폰,596
53,경쟁력,573
54,LG전자,570
55,활성화,570
56,전체적,548
57,본부장,545
58,근로자,542
59,대통령,538
60,CEO,536
61,금감원,514
62,경기도,510
63,스마트,500
64,트럼프,493
65,채용비리,492
66,최저임금,483
67,전통시장,476
68,서울시,473
69,상승세,464
70,군산공장,463
71,올림픽,462
72,R&D,460
73,선물세트,460
74,위원회,459
75,프로젝트,458
76,기아차,454
77,이마트,450
78,신제품,436
79,패키지,433
80,바이오,433
81,당기순이익,426
82,화장품,423
83,SUV,421
84,대우건설,419
85,보험료,415
86,판매량,411
87,투자자들,407
88,대표이사,406
89,스타트업,405
90,상품권,405
91,마케팅,404
92,사업자,401
93,우리나라,399
94,프로모션,398
95,M&A,397
96,디지털,395
97,상반기,392
98,소상공인,388
99,솔루션,387
100,보고서,384
101,가상화폐,380
102,셀트리온,377
103,부사장,377
104,1분기,374
105,데이터,374
106,농산물,373
107,이사회,373
108,배터리,372
109,공정위,364
110,블록체인,358
111,수수료,356
112,매수우위,355
113,SK텔레콤,351
114,한국지엠,351
115,백화점,349
116,카메라,341
117,전문가,330
118,우리은행,329
119,제조업,327
120,인프라,326
121,산업혁명,317
122,HOLD,317
123,NH투자증권,313
124,소비자들,312
125,동기간,312
126,전년대비,312
127,가입자,311
128,기준금리,309
129,태양광,305
130,수익성,303
131,친환경,302
132,농업인,301
133,콘텐츠,299
134,FTA,298
135,순이익,298
136,설명회,297
137,산업은행,297
138,박람회,297
139,가맹점,296
140,캠페인,295
141,간담회,294
142,인공지능,293
143,협력사,292
144,정부의,291
145,국토부,291
146,상승률,290
147,자율주행,289
148,산업부,288
149,현주가,287
150,삼성증권,286
151,디스플레이,280
152,사외이사,279
153,롯데그룹,273
154,카카오,271
155,개정안,271
156,청년들,270
157,보조금,268
158,고객들,265
159,서비스업,265
160,자회사,264
161,호반건설,263
162,스포츠,263
163,신한은행,262
164,포스코,260
165,시리즈,259
166,과징금,258
167,편의점,257
168,의약품,256
169,직원들,255
170,롯데백화점,255
171,점유율,255
172,이사장,252
173,한국투자증권,251
174,인터넷,250
175,LG유플러스,250
176,미래에셋대우,248
177,아시아,247
178,유상증자,246
179,신동빈,245
180,국민은행,243
181,4차_산업혁명,242
182,3분기,241
183,구조조정,241
184,삼성물산,241
185,금호타이어,241
186,건설사,238
187,홈페이지,236
188,사업장,235
189,보험사,235
190,SK하이닉스,234
191,KB증권,233
192,수도권,233
193,안전진단,232
194,2018년,232
195,공공기관,231
196,면세점,230
197,타이어,230
198,초콜릿,230
199,싼타페,227
200,기대감,227
